Organisation,Country,Status,Official name (+source),Also known as,Website,Instagram,Est. company size,Primary customers,Year founded,Ownership status,Core model,Geographic scope,Categories,Key partners / customers,Impact metrics,Conf: name,Conf: year,Conf: impact,Verification notes,GitHub slug,Short summary,Logo URL,Featured image URL,SEO description,Primary colour,Tags,Last verified date,Last updated date,Researcher,Source count,Overall confidence,Overall confidence score,REUSE priority rating,SDGs,Latitude,Longitude,Geocode precision
The Collective (DSM),"United States (Des Moines, Iowa)",Active,The Collective,Not publicly available,https://www.thecollectivedsm.com/,Not publicly available,Not publicly available,"Des Moines, Iowa area consumers.",Not publicly available,Private,"B2C bulk refillery and boutique retail: sells natural ingredient household and personal-care products (including third-party refillable brands), positioning itself around a broader sustainable-living philosophy rather than solely waste reduction.","United States (Des Moines, Iowa)",Refillery / Consumer Goods,Plaine Products (stocked refillable brand).,Not publicly available.,High,Low,Low,"No founding year found in public sources; owner's first name (Jamie) confirmed via company ""About"" page. Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-collective-dsm,"Owned by Jamie, a Des Moines native, The Collective is a sustainable-living shop and bulk refillery in Highland Park, Des Moines, offering vegan and ethically-made low-waste goods, including natural body-care products from brands like Plaine Products.",Not publicly available,Not publicly available,"Owned by Jamie, a Des Moines native, The Collective is a sustainable-living shop and bulk refillery in Highland Park, Des Moines, offering vegan and ethically-made low-waste goods, including natural body-care",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-19,2026-07-19,AI,2,Low,53,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,39.8283,-98.5795,country
The Ditty Bag,"United States (Mystic, Connecticut)",Active,The Ditty Bag LLC (Market & Cafe),Not publicly available,https://www.thedittybag.com/,Not publicly available,Not publicly available,"Mystic, Connecticut area consumers.",2021,Private,"B2C bulk grocery and refill retail: customers BYOC (bring your own container) or use compostable paper bags to fill up on grains, pastas, beans, nuts, teas and spices, plus refill stations for hand soaps, laundry detergent, dishwashing soaps and all-purpose cleaners.","United States (Mystic, Connecticut)",Refillery / Consumer Goods,Not publicly available.,Not publicly available.,High,High,Low,2021 opening and founder name (Jason Hine) confirmed via Edible CT East feature and founder's own Substack blog. Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-ditty-bag,"Founded by Jason Hine, The Ditty Bag Zero-Waste Market and Café opened in 2021 in Mystic, Connecticut, helping customers reduce plastic use through bulk dry goods, refill stations for cleaning products, and package-free grocery items.",Not publicly available,Not publicly available,"Founded by Jason Hine, The Ditty Bag Zero-Waste Market and Café opened in 2021 in Mystic, Connecticut, helping customers reduce plastic use through bulk dry goods, refill stations for cleaning",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-19,2026-07-19,AI,2,Medium,77,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,39.8283,-98.5795,country
The Eco Alchemist,"Canada (Squamish, British Columbia)",Active,The Eco Alchemist,Not publicly available,https://theecoalchemist.com/,Not publicly available,Not publicly available,"Squamish, BC consumers and wholesale retail partners across Canada.",2021,Private,"B2C manufacturer-retailer: handcrafted vegan personal-care goods made at company HQ; sold online, at the Squamish boutique with refill options, and wholesale in bulk sizes to partner stores for in-store refilling.","Canada (Squamish, British Columbia)",Consumer Goods / Refill Systems,Not publicly available.,Not publicly available.,High,High,Low,"2021 founding and founder name confirmed via company ""About Us"" page. Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-eco-alchemist,"Launched in May 2021 by Cosmetic Chemist and Holistic Nutritionist Terri Kirkham, The Eco Alchemist makes vegan hair and skin care manufactured on-site in Squamish, BC, with a boutique offering in-person refills alongside bulk sizes for wholesale partners.",Not publicly available,Not publicly available,"Launched in May 2021 by Cosmetic Chemist and Holistic Nutritionist Terri Kirkham, The Eco Alchemist makes vegan hair and skin care manufactured on-site in Squamish, BC, with a boutique offering",Not publicly available,"consumer-education, refill, reusable-packaging",2026-07-19,2026-07-19,AI,2,Medium,77,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,45.4215,-75.6972,country
The Eco Flamingo (Eco & The Flamingo),"United States (Chicago, Illinois)",Active,Eco & The Flamingo,Not publicly available,https://www.theecoflamingo.com/,Not publicly available,Not publicly available,"Chicago (Lincoln Square) and Evanston, Illinois area consumers.",2020,Private,"B2C zero-waste general store and café: sells refillable household/personal-care products, sustainably-packaged farm-stand goods, bulk coffee/tea and deli items with refillable containers; also runs a Sustainability Center hosting workshops on waste reduction, bike repair and mending.","United States (Chicago, Illinois)",Refillery / Consumer Goods,Not publicly available.,Expanded from one Chicago location (2020) to a second Evanston store (2022); hosts weekly Sustainability Center workshops.,High,High,Medium,2020 founding and founder names confirmed via Evanston RoundTable and WBEZ Chicago coverage. Confidence — Name: High | Founding Year: High | Impact Data: Medium | Last Verified: 2026-07-19 | Research Version: V5,the-eco-flamingo,"Co-founded in 2020 by Bethany Barbouti and Jackie MacCartie, Eco & The Flamingo is Chicago's first zero-waste general store, offering eco-friendly products, refills and a market café, with a second location added in Evanston in 2022.",Not publicly available,Not publicly available,"Co-founded in 2020 by Bethany Barbouti and Jackie MacCartie, Eco & The Flamingo is Chicago's first zero-waste general store, offering eco-friendly products, refills and a market café, with a second",Not publicly available,"consumer-education, refill, repair, waste-reduction",2026-07-19,2026-07-19,AI,2,High,87,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,41.8781,-87.6298,city
The Eco Refill Station,"Australia (Mandurah region, Western Australia)",Active,Eco Refill Station,Not publicly available,https://ecorefillstation.com/,Not publicly available,Not publicly available,Mandurah-region Western Australia residents.,Not publicly available,Private (changed ownership),"B2C refill delivery/service: customers refill household cleaner and body-care containers via a local refill network across Western Australian suburbs, rather than a single fixed storefront location.","Australia (Mandurah region, Western Australia)",Refill Systems,Not publicly available.,Not publicly available.,High,Low,Low,"No founding year found; business changed ownership at some point (from founder ""Kate"" to current operator) per company site. Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-eco-refill-station,"Eco Refill Station serves the Mandurah region of Western Australia (Shoalwater, Safety Bay, Mundijong and surrounds), offering natural household cleaning and body-care refills with a BYOC model; the business was previously run by a founder named Kate and has since changed to new ownership continuing the same model.",Not publicly available,Not publicly available,"Eco Refill Station serves the Mandurah region of Western Australia (Shoalwater, Safety Bay, Mundijong and surrounds), offering natural household cleaning and body-care refills with a BYOC model; the business was",Not publicly available,"refill, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,Low,53,★★ Low,SDG 12: Responsible Consumption and Production,-33.8688,151.2093,country
The Filling Station Eco Store,Ireland (Galway),Active,The Filling Station Eco Store,Not publicly available,https://thefillingstationecostore.ie/,Not publicly available,Not publicly available,"Galway, Ireland area consumers.",2019,Private,"B2C zero-waste grocer: bulk dispensers for dried fruit/nuts, cleaning products and personal-care items refilled by customers, sourcing from local organic producers and stocking items like bamboo toothbrushes and locally-produced natural skincare.",Ireland (Galway),Refillery / Consumer Goods,Not publicly available.,Not publicly available.,High,High,Low,July 2019 establishment and owner name (John Tedders) confirmed via This Is Galway feature. Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-filling-station-eco-store,"Established July 2019 by John Tedders — whose family transitioned from conventional to organic farming — The Filling Station Eco Store in Galway supports organic producers with hundreds of refillable food, cleaning and personal-care dispensers, using only recyclable materials.",Not publicly available,Not publicly available,Established July 2019 by John Tedders — whose family transitioned from conventional to organic farming — The Filling Station Eco Store in Galway supports organic producers with hundreds of refillable,Not publicly available,"consumer-education, refill, waste-reduction",2026-07-19,2026-07-19,AI,2,Medium,77,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,53.3498,-6.2603,country
The Good Fill,"United States (Nashville, Tennessee)",Active,The Good Fill,Not publicly available,https://thegoodfill.co/,Not publicly available,Not publicly available,"Nashville, Tennessee area consumers and online shoppers.",2022,Private,"B2C refill retailer with a hybrid shipping model: customers order bulk-size refills online shipped in pouches (returned via prepaid envelope for reuse) or purchase in a reusable aluminium case; product range spans dish soap, clay masks, silicone food huggers and other household/personal-care items.","United States (Nashville, Tennessee)",Refillery / Consumer Goods,Not publicly available.,Not publicly available.,High,High,Low,2022 founding and Nashville location confirmed via CBInsights company profile. Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-good-fill,"Founded in 2022 in Nashville, The Good Fill offers bulk refills of all-natural home and personal-care products both online and in-store, using a reusable aluminium case system plus mail-in refill pouches with prepaid return envelopes.",Not publicly available,Not publicly available,"Founded in 2022 in Nashville, The Good Fill offers bulk refills of all-natural home and personal-care products both online and in-store, using a reusable aluminium case system plus mail-in refill",Not publicly available,"refill, reusable-packaging, reverse-logistics, take-back",2026-07-19,2026-07-19,AI,2,Medium,77,★★★★ High,SDG 12: Responsible Consumption and Production,39.8283,-98.5795,country
The Green Bee,"United States (Goshen, Indiana)",Active,The Green Bee LLC,Not publicly available,https://thegreenbee22.com/,Not publicly available,Not publicly available,"Goshen, Indiana area consumers.",2023,Private (sister-owned),"B2C refillery and craft retail: customers bring containers to refill laundry soap, dish soap, self-care products, lotions and shampoo; also sells locally-made handmade goods incorporating repurposed and recycled materials.","United States (Goshen, Indiana)",Refillery / Consumer Goods,Not publicly available.,First zero-waste store in northern Indiana.,High,Medium,Low,January 2023 opening and founders' names confirmed via Yahoo News feature (originally local press). Confidence — Name: High | Founding Year: Medium | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-green-bee,"Founded by sisters Brandy Nichols and Ashley Anglemyer, The Green Bee opened around January 2023 as northern Indiana's first zero-waste store, offering refillable household products alongside locally-made, repurposed and recycled crafts, gifts and home decor.",Not publicly available,Not publicly available,"Founded by sisters Brandy Nichols and Ashley Anglemyer, The Green Bee opened around January 2023 as northern Indiana's first zero-waste store, offering refillable household products alongside locally-made, repurposed and recycled",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-19,2026-07-19,AI,2,Medium,63,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,39.8283,-98.5795,country
The Green Collective,Singapore,Active,The Green Collective SG Pte Ltd,Not publicly available,https://www.thegreencollective.sg/,Not publicly available,Not publicly available,Singapore consumers.,2018,Private (Certified B Corp),"B2C multi-brand retail platform: aggregates 35+ eco-friendly brands (reusable cutlery, collapsible cups, cotton mesh bags, period cloth pads, etc.) under one storefront, providing smaller sustainable businesses collective retail reach and consumers a curated one-stop shop.",Singapore,Consumer Goods Marketplace,35+ partner eco-friendly brands.,Singapore's largest eco-friendly collective; first B-Corp-certified eco-goods platform in Asia.,High,High,Medium,"2018 founding and founder names confirmed via company ""Founders' Story"" feature and Green Is The New Black press coverage. Confidence — Name: High | Founding Year: High | Impact Data: Medium | Last Verified: 2026-07-19 | Research Version: V5",the-green-collective,"Launched in April 2018 by Danielle Champagne, Mayur Singh and Agatha Lee, The Green Collective began as a platform bringing together sustainable brands and has grown into Singapore's largest eco-friendly collective and first B-Corp-certified platform for eco-friendly goods in Asia.",Not publicly available,Not publicly available,"Launched in April 2018 by Danielle Champagne, Mayur Singh and Agatha Lee, The Green Collective began as a platform bringing together sustainable brands and has grown into Singapore's largest eco-friendly",Not publicly available,"consumer-education, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,High,87,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,1.3521,103.8198,country
The Green Ecostore,United Arab Emirates (Dubai),Not publicly available,The Green Ecostore - source: timeoutdubai.com (original candidate research),Not publicly available,Not confirmed in this pass,Not publicly available,Not publicly available,UAE shoppers seeking zero-waste and plastic-free household essentials,Not publicly available,Not publicly available,E-commerce store selling zero-waste and plastic-free household and personal-care essentials to UAE shoppers - per original candidate research; no additional independent source found in this second pass,United Arab Emirates (Dubai),Zero-waste retail,Not publicly available.,Not publicly available.,Medium,Medium,Low,No new independent corroboration found beyond my original single-source candidate entry (Time Out Dubai). Recommend the Foundation verify directly via a UAE business directory or the company's own site before finalizing. --- Confidence — Name: Low | Founding Year: Low | Impact Data: Low | Overall: Low | Last Verified: 03/08/2026 | Research Version: V5 (batch add),the-green-ecostore,E-commerce store selling zero-waste and plastic-free household and personal-care essentials to UAE shoppers.,Not publicly available,Not publicly available,E-commerce store selling zero-waste and plastic-free household and personal-care essentials to UAE shoppers.,Not publicly available,Not publicly available,2026-07-17,2026-07-17,AI,0,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,25.2048,55.2708,city
The Green Jar,"Canada (Toronto, Ontario)",Active,The Green Jar Incorporated,Not publicly available,https://www.thegreenjarshop.com/,Not publicly available,Not publicly available,"Toronto, Ontario area consumers.",2019,Private,"B2C refillery with jar-deposit system: customers pay a small deposit on jars/bottles, refill them with bulk personal-care and home products, and return them for reuse — a model the founders adapted from sustainable retail practices seen in Switzerland, Germany and Jamaica.","Canada (Toronto, Ontario)",Refillery / Consumer Goods,Not publicly available.,Not publicly available.,High,High,Low,December 2019 opening and founders' names confirmed via Notable Life feature. Confidence — Name: High | Founding Year: High | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-green-jar,"Opened in December 2019 by twin sisters Tannis and Mara Bundi, The Green Jar is a Toronto eco-friendly refillery offering package-free personal-care and home goods in bulk, developing a bottle-deposit system during the city's first COVID lockdown to support online delivery.",Not publicly available,Not publicly available,"Opened in December 2019 by twin sisters Tannis and Mara Bundi, The Green Jar is a Toronto eco-friendly refillery offering package-free personal-care and home goods in bulk, developing a bottle-deposit",Not publicly available,"deposit-return, refill, reusable-packaging",2026-07-19,2026-07-19,AI,2,Medium,77,★★★★ High,SDG 12: Responsible Consumption and Production,43.6532,-79.3832,city
The Green Market (Bali),"Indonesia (Bali — Kerobokan, Seseh)",Active,The Green Market,Not publicly available,https://greenmarketbali.com/,Not publicly available,Not publicly available,"Bali, Indonesia residents and expat community.",Not publicly available,Private,"B2C bulk grocery retail: customers buy glass jars/bottles in-store or bring their own, using a self-weighing system to refill groceries, cleaning and lifestyle products; supplemented by online pre-order and wholesale services.","Indonesia (Bali — Kerobokan, Seseh)",Refillery / Consumer Goods,Not publicly available.,Expanded to a second Seseh location alongside original Kerobokan store.,High,Low,Low,No founding year found in public sources; earliest dated content found (store expansion) traces to May 2021. Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-green-market-bali,"Billed as the first zero-waste bulk food store in Bali, The Green Market sells organic and non-organic groceries via a self-weigh refill system, with locations in Kerobokan and Seseh, plus WhatsApp ordering and delivery/pickup.",Not publicly available,Not publicly available,"Billed as the first zero-waste bulk food store in Bali, The Green Market sells organic and non-organic groceries via a self-weigh refill system, with locations in Kerobokan and Seseh, plus",Not publicly available,"consumer-education, refill, waste-reduction",2026-07-19,2026-07-19,AI,2,Low,53,★★★★ High,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,-8.665,115.165,city
The Green Tap,"South Africa (Table View / Sunningdale, Cape Town)",Active,The Green Tap,Not publicly available,https://www.thegreentap.co.za/,Not publicly available,Not publicly available,Cape Town-area consumers and B2B white-label business clients.,~2019-2020,Private,"B2C/B2B hybrid: retail refill store lets customers refill cleaning/personal-care containers; a wholesale/white-label arm supplies businesses with natural refillable products under their own branding, extending reuse infrastructure beyond direct retail.","South Africa (Table View / Sunningdale, Cape Town)",Refillery / Consumer Goods,Not publicly available.,"""Thousands"" of bottles refilled over ~5 years per company social media.",High,Medium,Medium,"Founding year approximated (~2019-2020) from a ""5 years of refilling"" social-media reference; exact date not stated on company site. Confidence — Name: High | Founding Year: Medium | Impact Data: Medium | Last Verified: 2026-07-19 | Research Version: V5",the-green-tap,"The Green Tap is a Cape Town zero-waste refill store that has refilled ""thousands of bottles"" over roughly five years of operation, offering wholesale refills of cleaning and personal-care products, plus white-label options for businesses wanting branded natural refillable products.",Not publicly available,Not publicly available,"The Green Tap is a Cape Town zero-waste refill store that has refilled ""thousands of bottles"" over roughly five years of operation, offering wholesale refills of cleaning and personal-care products,",Not publicly available,"refill, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,Medium,73,★★★★ High,SDG 12: Responsible Consumption and Production,-33.9249,18.4241,city
The Greet,South Korea,Active,The Greet Inc.,Not publicly available,https://thegreet.co.kr/,Not publicly available,Not publicly available,"Food retailers, cafés, event organisers and catering companies in South Korea.",Not publicly available,"Private (VC-backed, ""Baby Unicorn"")","End-to-end container-as-a-service: manufactures, distributes, collects, sanitises and redistributes reusable containers for retailers/cafés; its ""Drimm Platform"" synchronises QR-code data in real time to track resource circulation across clients, generating revenue through per-use service fees.",South Korea,Reusable Packaging-as-a-Service,"Sanitisation-process collaborators from Germany, Japan and the US; CES 2025 exhibitor.","300,000+ containers in daily circulation; 71.5 million cumulative container deployments (as of Dec 2024); carbon offset equivalent to 33,500 pine trees; Korea's first ""Eco-Label"" for reusable container services; selected as a Global Unicorn Project ""Baby Unicorn.""",High,Low,High,"No founding year found in public sources; impact figures (300,000/day, 71.5M cumulative) sourced directly from company PR Newswire release, Dec 2024. Confidence — Name: High | Founding Year: Low | Impact Data: High | Last Verified: 2026-07-19 | Research Version: V5",the-greet,"The Greet operates Korea's most extensive reusable-container sanitisation network under its ""Drimm"" brand — 38 standardised, QR-tracked container types for packaging, delivery, festivals, catering and funeral services — using a proprietary 7-stage sanitisation process developed with partners from Germany, Japan and the US.",Not publicly available,Not publicly available,"The Greet operates Korea's most extensive reusable-container sanitisation network under its ""Drimm"" brand — 38 standardised, QR-tracked container types for packaging, delivery, festivals, catering and funeral services — using a",Not publicly available,"digital-tracking, packaging-as-a-service, reusable-packaging, reverse-logistics",2026-07-19,2026-07-19,AI,2,Medium,77,★★★★★ Essential,SDG 12: Responsible Consumption and Production,37.5665,126.978,country
The Kind Market,Egypt,Not publicly available,"The Kind Market - source: egyptianstreets.com (Apr 2022, original candidate research)",Not publicly available,Not confirmed - social-media-only presence per original research,Not publicly available,Not publicly available,Egyptian consumers seeking environmentally-friendly alternatives to single-use products,Not publicly available,Not publicly available,Instagram-based storefront selling environmentally-friendly alternatives to everyday single-use products in Egypt - per original candidate research; no additional source found in this second pass,Egypt,Zero-waste retail,Not publicly available.,Not publicly available.,Medium,Medium,Low,No new independent corroboration found beyond my original single-source (Egyptian Streets) candidate entry. This remains a low-confidence lead requiring direct verification before inclusion. --- Confidence — Name: Low | Founding Year: Low | Impact Data: Low | Overall: Low | Last Verified: 03/08/2026 | Research Version: V5 (batch add),the-kind-market,Instagram-based storefront selling environmentally-friendly alternatives to everyday single-use products in Egypt.,Not publicly available,Not publicly available,Instagram-based storefront selling environmentally-friendly alternatives to everyday single-use products in Egypt.,Not publicly available,Not publicly available,2026-07-17,2026-07-17,AI,0,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,30.0444,31.2357,country
The Mayan Collective,"United States (San Luis Obispo, California)",Active,The Mayan Collective LLC,Not publicly available,https://themayancollective.com/,Not publicly available,Not publicly available,"Local consumers in San Luis Obispo and Arroyo Grande, California; candle-bar visitors and gift shoppers.",Not publicly available,"Private, small business","Retail candle-bar concept offering a DIY pour-your-own-candle experience plus a separate refill-station location; sells soy wax candles in reusable glass jars intended for reuse and refills bottles for household/personal-care liquids. Revenue comes from candle sales, DIY workshop experiences, and refill top-ups. Small-scale specialty retailer with a charitable-giving component (20% of proceeds to Guatemala).","United States (San Luis Obispo, California)",Reusable Packaging / Refill Systems,Not publicly available,Not publicly available,High,Low,Low,Seed description (refillable candles/scented products) confirmed via official site and About page; no independent verification found for founding year or ownership structure. --- Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5,the-mayan-collective,"A San Luis Obispo, California candle-bar retailer selling 100% soy-wax candles in reusable glass jars, with a dedicated Refill Station in Arroyo Grande where customers refill candle vessels and bottles of soap, detergent, dish soap, shampoo and conditioner. Donates 20% of proceeds to causes in Guatemala.",Not publicly available,Not publicly available,"A San Luis Obispo, California candle-bar retailer selling 100% soy-wax candles in reusable glass jars, with a dedicated Refill Station in Arroyo Grande where customers refill candle vessels and bottles",Not publicly available,"consumer-education, refill, reusable-packaging",2026-07-19,2026-07-19,AI,2,Low,53,★★ Low,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,39.8283,-98.5795,country
The Nature Masons,India (Goa),Active,The Nature Masons,Not publicly available,https://thenaturemasons.com/,Not publicly available,Not publicly available,"Individual consumers in India (Goa-based, national online sales via own site and Amazon.in).",Not publicly available,Private,"Direct-to-consumer personal-care brand selling deodorant balms and shampoo bars via its own site and Amazon.in, packaged in reusable/recyclable tins; sells standalone refill bars/balms so customers can reuse the same tin rather than buying new packaging each time. Revenue comes from product sales rather than a dedicated refill-infrastructure or franchise model.",India (Goa),Refill Systems / Reusable Packaging,Not publicly available,Not publicly available,High,Low,Low,"Seed data's ""aluminium refill containers"" claim appears incorrect/outdated — company sourcing indicates they tested and rejected aluminium packaging due to quality and humidity-related oxidation issues in Goa; actual packaging is tin-based with reusable/refill bars. Flagged as a correction. --- Confidence — Name: High | Founding Year: Low | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-nature-masons,"Goa-based personal-care brand making gender-neutral, organic, cruelty-free deodorant balms and shampoo bars sold in reusable tins, with standalone refill bars available so customers reuse the same tin. The company reports having tested and abandoned aluminium packaging due to quality and humidity-related oxidation problems in its Goa warehouse.",Not publicly available,Not publicly available,"Goa-based personal-care brand making gender-neutral, organic, cruelty-free deodorant balms and shampoo bars sold in reusable tins, with standalone refill bars available so customers reuse the same tin. The company reports",Not publicly available,"refill, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,Low,53,★★ Low,SDG 12: Responsible Consumption and Production,28.6139,77.209,country
The Nest Space,South Africa (Johannesburg — now Parktown North; previously Greenside),Not publicly available,The Nest Space — source: thenestspace.co.za,Not publicly available,https://www.thenestspace.co.za — source: direct,Not publicly available,Not publicly available,"Johannesburg residents seeking yoga/wellness services, alongside (when operating) vegan café and zero-waste grocery customers — source: thenestspace.co.za",Not publicly available,"Small, independently owned wellness business; company profile states '100% WOC owned + run' — source: x.com/thenestspaceza","IMPORTANT STATUS FLAG: The Nest Space is primarily a yoga studio and holistic wellness space (yoga, alternative healing therapy, meditation, moon ceremonies); the zero-waste grocer and vegan café are a secondary component that, per the business's own site (dated Oct 2025), is described as 'reopening soon' after the business relocated to a new Parktown North location — suggesting the zero-waste grocery element may be currently paused/not operating, distinct from the still-active yoga studio — source: thenestspace.co.za (main page, Oct 2025)",South Africa (Johannesburg — now Parktown North; previously Greenside),"Refill / Zero-waste retail — status uncertain, verify current operation of the grocer component specifically",Not publicly available.,Not publicly available.,Medium,Medium,Low,"IMPORTANT UPDATE vs. my original candidate entry: the business's own site indicates the zero-waste grocery/café component (the part directly relevant to your database) is described as 'reopening soon' as of an October 2025-dated page snapshot, following a relocation from Greenside to Parktown North — this suggests the reuse-relevant part of the business may currently be paused even though the broader wellness/yoga business is active (confirmed via recent 2026 LinkedIn activity from a studio-affiliated professional). Recommend the Foundation verify directly whether",the-nest-space,Combined café and zero-waste grocer offering package-free grocery items alongside a café operation.,Not publicly available,Not publicly available,Combined café and zero-waste grocer offering package-free grocery items alongside a café operation.,Not publicly available,refill,2026-07-17,2026-07-17,AI,1,Low,50,Not publicly available,SDG 12: Responsible Consumption and Production,-26.2041,28.0473,city
The Olive Branch,"Ireland (Clonakilty, Co. Cork)",Active,"The Olive Branch (refill operations run under sister brand ""Twig Refill Station"")",Not publicly available,https://www.theolivebranch.ie/,Not publicly available,Not publicly available,"Local residents and visitors in Clonakilty, West Cork, Ireland.",2004,"Private, owner-operated (Olive Finn and Andy Beattie)","Independent, owner-operated retail health-food shop generating revenue from health foods and community-oriented retail; the refill/zero-waste side of the business (bulk dry goods, household cleaning and personal-care refills) operates under the separately branded Twig Refill Station, encouraging customers to bring reusable containers or buy in-store cotton bags/glass jars.","Ireland (Clonakilty, Co. Cork)",Refill Systems / Waste Reduction,Not publicly available,Not publicly available,Medium,Medium,Low,"The seed entry names ""The Olive Branch"" for zero-waste groceries/refills, but the dedicated refill operation trades under the distinct name ""Twig Refill Station,"" a sister store/brand of the same founder (Olive Finn). Both are physically/operationally linked. Flagged as a brand distinction. --- Confidence — Name: Medium | Founding Year: Medium | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-olive-branch,"A health food shop in Clonakilty, Co. Cork, founded in 2004 by Olive Finn and Andy Beattie. Its zero-waste refill offering — bulk groceries and household/personal-care refills — is run through a related ""little sister"" store/brand called Twig Refill Station.",Not publicly available,Not publicly available,"A health food shop in Clonakilty, Co. Cork, founded in 2004 by Olive Finn and Andy Beattie. Its zero-waste refill offering — bulk groceries and household/personal-care refills — is run",Not publicly available,"consumer-education, refill, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,Low,50,★★★ Medium,SDG 12: Responsible Consumption and Production; SDG 4: Quality Education,51.8985,-8.4756,city
The Purest Solutions,Turkey (Istanbul),Active,The Purest Solutions,Not publicly available,https://thepurestsolutions.com/,Not publicly available,Not publicly available,"Retail skincare consumers across 30+ countries, including Turkey, US, Germany, and Gulf/Middle East markets (via regional resellers).",2020,"Private, founder-owned (Alim Ozan Evliyaoğlu and Hazal Evliyaoğlu)","D2C and international-distribution skincare brand selling dermatologically-tested, vegan, cruelty-free formulations; generates revenue primarily through standard retail cosmetic sales, supplemented by Refill Eco Pack offerings that let customers replace product without a new full container, reducing packaging waste per repurchase.",Turkey (Istanbul),Refill Systems,Not publicly available,Not publicly available,High,Medium,Low,"Founding year (2020) and founder names corroborated by search-aggregated brand coverage; refill product line (""Refill Eco Packs"") confirmed via multiple retailer listings, but no dedicated eco/refill page was directly fetched to confirm scope. --- Confidence — Name: High | Founding Year: Medium | Impact Data: Low | Last Verified: 2026-07-19 | Research Version: V5",the-purest-solutions,"A Turkish clean-beauty/skincare brand founded in 2020, offering paraben/alcohol/dye-free skincare (serums, cleansers, toners, moisturisers, sunscreens) sold in over 30 countries, with ""Refill Eco Packs"" introduced as a sustainability-focused packaging option.",Not publicly available,Not publicly available,"A Turkish clean-beauty/skincare brand founded in 2020, offering paraben/alcohol/dye-free skincare (serums, cleansers, toners, moisturisers, sunscreens) sold in over 30 countries, with ""Refill Eco Packs"" introduced as a sustainability-focused packaging option.",Not publicly available,"refill, reusable-packaging, waste-reduction",2026-07-19,2026-07-19,AI,2,Medium,63,★★ Low,SDG 12: Responsible Consumption and Production,41.0082,28.9784,city
